SoC_CH;OCP_NE_CH;OCP_PE_CH;SoC_DCH;OCP_NE_DCH;OCP_PE_DCH;Q_Ch;Q_Dch
0.072536268;0.299102223;3.631593103;0.072536268;0.579313272;3.636267289;0.569170671;0.550293223
0.073036518;0.298349769;3.631864783;0.073036518;0.577708043;3.636478806;0.573095986;0.554088348
0.073536768;0.297612584;3.632139271;0.073536768;0.576123973;3.636691043;0.577021301;0.557883474
0.074037019;0.296878239;3.632405094;0.074037019;0.574548631;3.636899336;0.580946616;0.5616786
0.074537269;0.296158559;3.632673526;0.074537269;0.572987432;3.637107473;0.58487193;0.565473725
0.075037519;0.295448061;3.632941197;0.075037519;0.571439829;3.637312708;0.588797245;0.569268851
0.075537769;0.294746394;3.633205706;0.075537769;0.569903324;3.6375179;0.59272256;0.573063977
0.076038019;0.294047316;3.63346903;0.076038019;0.568382245;3.63772314;0.596647875;0.576859102
0.076538269;0.293352304;3.633726255;0.076538269;0.566875353;3.637925555;0.60057319;0.580654228
0.077038519;0.292665653;3.633985035;0.077038519;0.565382353;3.638126219;0.604498505;0.584449354
0.077538769;0.291987741;3.634245042;0.077538769;0.563902313;3.638324797;0.60842382;0.588244479
0.07803902;0.291311435;3.63450174;0.07803902;0.562435271;3.638521051;0.612349135;0.592039605
0.07853927;0.29063947;3.634757232;0.07853927;0.5609765;3.638709215;0.61627445;0.595834731
0.07903952;0.289969511;3.635007376;0.07903952;0.559539865;3.63890395;0.620199765;0.599629856
0.07953977;0.289306861;3.635261917;0.07953977;0.558111668;3.639094823;0.62412508;0.603424982
0.08004002;0.288644012;3.635509159;0.08004002;0.556690712;3.639283436;0.628050395;0.607220108
0.08054027;0.287986939;3.635760049;0.08054027;0.555283429;3.639471369;0.63197571;0.611015233
0.08104052;0.287332822;3.636006919;0.08104052;0.553890223;3.639657301;0.635901025;0.614810359
0.08154077;0.286680049;3.63625205;0.08154077;0.552509936;3.639843978;0.63982634;0.618605485
0.082041021;0.286028211;3.636492936;0.082041021;0.551134791;3.640022809;0.643751655;0.62240061
0.082541271;0.285381556;3.636735485;0.082541271;0.549779159;3.640205668;0.64767697;0.626195736
0.083041521;0.284734582;3.636976228;0.083041521;0.548435091;3.640381665;0.651602285;0.629990862
0.083541771;0.284090466;3.637213643;0.083541771;0.547104684;3.64056312;0.6555276;0.633785987
0.084042021;0.28345021;3.637451071;0.084042021;0.545783288;3.640742905;0.659452915;0.637581113
0.084542271;0.282809677;3.637684468;0.084542271;0.544475288;3.640916707;0.66337823;0.641376239
0.085042521;0.282176017;3.63792364;0.085042521;0.543174243;3.641089526;0.667303545;0.645171364
0.085542771;0.281537238;3.638152307;0.085542771;0.541888914;3.641266816;0.67122886;0.64896649
0.086043022;0.280906026;3.638386197;0.086043022;0.540612256;3.641439397;0.675154175;0.652761616
0.086543272;0.280281108;3.638620225;0.086543272;0.53934848;3.641608171;0.67907949;0.656556741
0.087043522;0.27965495;3.638847203;0.087043522;0.538104347;3.641785732;0.683004805;0.660351867
0.087543772;0.279031833;3.639077596;0.087543772;0.536858571;3.641951129;0.68693012;0.664146993
0.088044022;0.278405965;3.639299073;0.088044022;0.535633362;3.642120295;0.690855435;0.667942118
0.088544272;0.277786123;3.639524896;0.088544272;0.534419599;3.642295222;0.69478075;0.671737244
0.089044522;0.277171234;3.639748625;0.089044522;0.533220501;3.6424675;0.698706065;0.67553237
0.089544772;0.276561365;3.639975506;0.089544772;0.532023464;3.642633906;0.70263138;0.679327496
0.090045023;0.275949429;3.640194481;0.090045023;0.530842349;3.642801215;0.706556695;0.683122621
0.090545273;0.275337492;3.640410085;0.090545273;0.529672563;3.642969018;0.710482009;0.686917747
0.091045523;0.274728143;3.640625373;0.091045523;0.528512288;3.643138031;0.714407324;0.690712873
0.091545773;0.274125535;3.640844045;0.091545773;0.527366404;3.643309138;0.718332639;0.694507998
0.092046023;0.273521995;3.641061956;0.092046023;0.526223439;3.643474507;0.722257954;0.698303124
0.092546273;0.272919223;3.64127592;0.092546273;0.525089564;3.643644814;0.726183269;0.70209825
0.093046523;0.272315948;3.641487862;0.093046523;0.523965779;3.643816531;0.730108584;0.705893375
0.093546773;0.271720083;3.641701865;0.093546773;0.52284838;3.64398218;0.734033899;0.709688501
0.094047024;0.271123966;3.641910476;0.094047024;0.521744677;3.644153046;0.737959214;0.713483627
0.094547274;0.270526692;3.642115032;0.094547274;0.520649769;3.644324626;0.741884529;0.717278752
0.095047524;0.269933168;3.642317575;0.095047524;0.519562969;3.644495404;0.745809844;0.721073878
0.095547774;0.269346265;3.642526394;0.095547774;0.518487133;3.644664758;0.749735159;0.724869004
0.096048024;0.268761405;3.64273181;0.096048024;0.517424465;3.644839428;0.753660474;0.728664129
0.096548274;0.268181081;3.642937712;0.096548274;0.516367788;3.645012462;0.757585789;0.732459255
0.097048524;0.267599214;3.643139537;0.097048524;0.515313855;3.64518101;0.761511104;0.736254381
0.097548774;0.267021787;3.643342302;0.097548774;0.514278881;3.645356311;0.765436419;0.740049506
0.098049025;0.266440249;3.643534653;0.098049025;0.513247677;3.645534787;0.769361734;0.743844632
0.098549275;0.265867563;3.643734095;0.098549275;0.512224433;3.645705821;0.773287049;0.747639758
0.099049525;0.265295368;3.643926723;0.099049525;0.511207437;3.64588083;0.777212364;0.751434883
0.099549775;0.264726849;3.644119641;0.099549775;0.510200098;3.646056437;0.781137679;0.755230009
0.100050025;0.264163409;3.64431366;0.100050025;0.509202464;3.646234462;0.785062994;0.759025135
0.100550275;0.263599091;3.64450292;0.100550275;0.508204578;3.646408761;0.788988309;0.76282026
